"","Lupus","WT"
"Pkhd1",-0.260611521411134,0.213196484769227
"4930486I03Rik",-0.249943287699151,0.43152517518807
"Mir6349",0.178230775237035,0.363301545499422
"Rfx8",-0.343596218598057,0.256916775425334
"Slc9a2",-0.522199435217901,0.407165800666664
"Mfsd9",-0.365871175322514,0.535785158098849
"Col5a2",-0.172380409983752,0.382999845929089
"Igfbp5",-0.601440206454207,0.445344750378286
"6030407O03Rik",-0.347151757611313,0.342365896401451
"Col4a3",-0.203727931199857,0.232924166570233
"Neu2",-0.0909309623690763,0.381967478065298
"Ugt1a10",-0.189883938480619,0.311514060419805
"Ugt1a9",-0.209730181991905,0.333420428954924
"Ugt1a7c",-0.220258307766284,0.353245133985302
"Ugt1a2",-0.247518281874661,0.372872892406915
"Ugt1a6a",-0.247518281874661,0.372872892406915
"Spp2",-0.443616206353619,0.338446677416496
"Gal3st2",-2,2
"4930533P14Rik",-0.595386452706171,0.566088589158529
"Tfcp2l1",-0.0457536049177906,0.206533573604264
"Plekha6",-0.242280256739482,0.270437821266711
"Gm19461",-0.207728436983007,0.271006911098403
"Kiss1",-0.307710820324014,0.393225007405686
"Golt1a",-0.313739358405715,0.401373827574833
"Prelp",-0.400702947737914,0.37064188218551
"Gm4788",-1.3232956369116,1.2856537861609
"C730036E19Rik",-0.143074083729983,0.249664699702286
"Colgalt2",-0.344608433270974,0.472254371158381
"Rgl1",-0.135539885903476,0.208429381827538
"Xpr1",-0.106690900103167,0.213345318086535
"Adcy10",-0.258041927133131,0.342335944541185
"Nos1ap",-0.212826758865097,0.214915249101595
"Dusp12",-0.476758991873301,0.572896756777321
"Sdhc",-0.426375455825215,0.424674917954086
"Mptx1",-1.02960009712922,0.967416363575574
"Coq8a",-0.390387940657687,0.314340263568551
"Mark1",-0.235356651260965,0.280147053290372
"Esrrg",-0.212275249515327,0.288184886991705
"Iyd",-0.132674297640457,0.379138853918842
"Myct1",-0.303121859597369,0.58468676184763
"Cnksr3",-0.169891716148508,0.219895192709128
"Mir6413",-0.332963028432491,0.356837522004009
"Rhobtb1",0.0505239442045871,0.200170420296394
"Upb1",-0.166221960587073,0.32143283904993
"Cfd",-0.150482938779039,0.486724834615917
"4930486F22Rik",-0.146246285506436,0.302709067828109
"Ascl1",0.0816471323846482,0.585165659981881
"Pah",-0.301145721173393,0.514378028191011
"Ntn4",-0.334206500918569,0.385387604132879
"Gm15915",-0.383708480018335,0.561802670026807
"Rab3ip",-0.142197966775851,0.309762191300273
"Cpm",-0.263090967179468,0.307769771763314
"Olfr825",0.00738017082355305,0.888098715998389
"Osbp2",-0.0977036331062507,0.228002766959715
"Dusp18",-0.126080091372607,0.38298456554848
"Emid1",-0.24772522986132,0.296283459039517
"Aebp1",-0.652859514888266,0.431764604440893
"Camk2b",-0.420008658094872,0.309034765331494
"Adcy1",-0.143353180113703,0.239207687693858
"Bod1",-0.219125561160184,0.218558704227307
"D630024D03Rik",-0.282856229164104,0.292288438912632
"Cpeb4",-0.238334815198604,0.29810102650807
"Pdlim4",-0.136284521811013,0.287152794717891
"Gjc2",-0.143625833125114,0.492487377274416
"Kcnj12",-0.730516616322755,0.731804815249085
"Nlrp1b",-1.34503175074503,1.4109351668426
"Nlrp1c-ps",-1.89855293205511,1.62160453157977
"Tekt1",-0.197058480452048,0.525969047481674
"Smg6",-0.254682105660481,0.289606907693341
"Rtn4rl1",-0.252027995138172,0.22156676657243
"Rph3al",-0.200309652857492,0.205150341219884
"Vps53",-0.34314763063091,0.22476705811869
"Nxn",-0.267134706914305,0.354540628395579
"Sez6",-0.383315812234558,0.467230067973214
"Slc13a2",-0.250581718334525,0.367510896974062
"Rab11fip4",-0.182054553770289,0.221395797584706
"Rab11fip4os1",-0.149702512798335,0.30870455311583
"Mir365-2",-0.116473699574319,0.275505076173327
"Bcas3",-0.240672206910838,0.250056707262589
"Dhx40",-0.620094090056471,0.346453560061557
"Cuedc1",-0.201417488868425,0.290331457671136
"Mrps23",-0.204788750239548,0.269001301522179
"Ccdc182",-0.371512166243143,0.491162597913708
"Msi2",-0.178542955776633,0.250438039887753
"Mir378b",-0.309124623224007,0.320858703623869
"0610039H22Rik",-0.177183229627124,0.274508432527715
"C030037D09Rik",-0.0750454808410092,0.237079007061368
"Acsf2",-0.116984453418116,0.349662012757122
"Tac4",-0.13417903014417,0.248230403245554
"Pgap3",-0.123846110699305,0.410718262965165
"Psmd3",-0.216399627682541,0.345075132958832
